accuracy,f1_macro,precision_macro,recall_macro,dataset_name,estimator_name,repetition,split
d1_mammography,e9_Perceptron,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d2_iris,e0_ExtraTreesClassifier,r0,train,1.0,1.0,1.0,1.0
d2_iris,e0_ExtraTreesClassifier,r0,test0,1.0,1.0,1.0,1.0
d2_iris,e0_ExtraTreesClassifier,r0,test1,0.9,0.8976982097186701,0.923076923076923,0.9
d2_iris,e0_ExtraTreesClassifier,r1,train,1.0,1.0,1.0,1.0
d2_iris,e0_ExtraTreesClassifier,r1,test0,1.0,1.0,1.0,1.0
d2_iris,e0_ExtraTreesClassifier,r1,test1,0.9,0.899749373433584,0.9023569023569024,0.9
d2_iris,e1_RandomForestClassifier,r0,train,1.0,1.0,1.0,1.0
d2_iris,e1_RandomForestClassifier,r0,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e1_RandomForestClassifier,r0,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e1_RandomForestClassifier,r1,train,1.0,1.0,1.0,1.0
d2_iris,e1_RandomForestClassifier,r1,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e1_RandomForestClassifier,r1,test1,0.9333333333333333,0.9326599326599326,0.9444444444444445,0.9333333333333332
d2_iris,e2_DecisionTreeClassifier,r0,train,1.0,1.0,1.0,1.0
d2_iris,e2_DecisionTreeClassifier,r0,test0,1.0,1.0,1.0,1.0
d2_iris,e2_DecisionTreeClassifier,r0,test1,0.9,0.899749373433584,0.9023569023569024,0.9
d2_iris,e2_DecisionTreeClassifier,r1,train,1.0,1.0,1.0,1.0
d2_iris,e2_DecisionTreeClassifier,r1,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e2_DecisionTreeClassifier,r1,test1,0.8666666666666667,0.8666666666666668,0.8666666666666667,0.8666666666666667
d2_iris,e3_AdaBoostClassifier,r0,train,0.9777777777777777,0.9777530589543938,0.9791666666666666,0.9777777777777779
d2_iris,e3_AdaBoostClassifier,r0,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e3_AdaBoostClassifier,r0,test1,0.9,0.899749373433584,0.9023569023569024,0.9
d2_iris,e3_AdaBoostClassifier,r1,train,0.9888888888888889,0.9888858016115588,0.989247311827957,0.9888888888888889
d2_iris,e3_AdaBoostClassifier,r1,test0,0.9666666666666667,0.9665831244778613,0.9696969696969697,0.9666666666666667
d2_iris,e3_AdaBoostClassifier,r1,test1,0.8666666666666667,0.8653198653198654,0.875,0.8666666666666666
