fit_time,pred_time,dataset_name,estimator_name,repetition,split
d2_iris,e3_AdaBoostClassifier,r1,test1,0 days 00:00:00.055875000,0 days 00:00:00.004097000
d2_iris,e4_GaussianNB,r0,train,0 days 00:00:00.000696000,0 days 00:00:00.000223000
d2_iris,e4_GaussianNB,r0,test0,0 days 00:00:00.000696000,0 days 00:00:00.000255000
d2_iris,e4_GaussianNB,r0,test1,0 days 00:00:00.000696000,0 days 00:00:00.000215000
d2_iris,e4_GaussianNB,r1,train,0 days 00:00:00.000691000,0 days 00:00:00.000199000
d2_iris,e4_GaussianNB,r1,test0,0 days 00:00:00.000691000,0 days 00:00:00.000226000
d2_iris,e4_GaussianNB,r1,test1,0 days 00:00:00.000691000,0 days 00:00:00.000276000
d2_iris,e5_KNeighborsClassifier,r0,train,0 days 00:00:00.000462000,0 days 00:00:00.000587000
d2_iris,e5_KNeighborsClassifier,r0,test0,0 days 00:00:00.000462000,0 days 00:00:00.000720000
d2_iris,e5_KNeighborsClassifier,r0,test1,0 days 00:00:00.000462000,0 days 00:00:00.000596000
d2_iris,e5_KNeighborsClassifier,r1,train,0 days 00:00:00.000448000,0 days 00:00:00.000576000
d2_iris,e5_KNeighborsClassifier,r1,test0,0 days 00:00:00.000448000,0 days 00:00:00.000642000
d2_iris,e5_KNeighborsClassifier,r1,test1,0 days 00:00:00.000448000,0 days 00:00:00.000542000
d2_iris,e6_SVC,r0,train,0 days 00:00:00.000680000,0 days 00:00:00.000231000
d2_iris,e6_SVC,r0,test0,0 days 00:00:00.000680000,0 days 00:00:00.000194000
d2_iris,e6_SVC,r0,test1,0 days 00:00:00.000680000,0 days 00:00:00.000209000
d2_iris,e6_SVC,r1,train,0 days 00:00:00.000685000,0 days 00:00:00.000234000
d2_iris,e6_SVC,r1,test0,0 days 00:00:00.000685000,0 days 00:00:00.000228000
d2_iris,e6_SVC,r1,test1,0 days 00:00:00.000685000,0 days 00:00:00.000202000
d2_iris,e7_GaussianProcessClassifier,r0,train,0 days 00:00:00.025402000,0 days 00:00:00.004062000
d2_iris,e7_GaussianProcessClassifier,r0,test0,0 days 00:00:00.025402000,0 days 00:00:00.003698000
d2_iris,e7_GaussianProcessClassifier,r0,test1,0 days 00:00:00.025402000,0 days 00:00:00.003480000
d2_iris,e7_GaussianProcessClassifier,r1,train,0 days 00:00:00.023167000,0 days 00:00:00.003900000
d2_iris,e7_GaussianProcessClassifier,r1,test0,0 days 00:00:00.023167000,0 days 00:00:00.006827000
d2_iris,e7_GaussianProcessClassifier,r1,test1,0 days 00:00:00.023167000,0 days 00:00:00.005910000
d2_iris,e8_MLPClassifier,r0,train,0 days 00:00:00.106454000,0 days 00:00:00.000282000
d2_iris,e8_MLPClassifier,r0,test0,0 days 00:00:00.106454000,0 days 00:00:00.000296000
d2_iris,e8_MLPClassifier,r0,test1,0 days 00:00:00.106454000,0 days 00:00:00.000262000
d2_iris,e8_MLPClassifier,r1,train,0 days 00:00:00.107266000,0 days 00:00:00.000276000
d2_iris,e8_MLPClassifier,r1,test0,0 days 00:00:00.107266000,0 days 00:00:00.000250000
d2_iris,e8_MLPClassifier,r1,test1,0 days 00:00:00.107266000,0 days 00:00:00.000263000
d2_iris,e9_Perceptron,r0,train,0 days 00:00:00.001113000,0 days 00:00:00.000168000
d2_iris,e9_Perceptron,r0,test0,0 days 00:00:00.001113000,0 days 00:00:00.000135000
d2_iris,e9_Perceptron,r0,test1,0 days 00:00:00.001113000,0 days 00:00:00.000138000
d2_iris,e9_Perceptron,r1,train,0 days 00:00:00.000899000,0 days 00:00:00.000115000
d2_iris,e9_Perceptron,r1,test0,0 days 00:00:00.000899000,0 days 00:00:00.000132000
d2_iris,e9_Perceptron,r1,test1,0 days 00:00:00.000899000,0 days 00:00:00.000144000
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,train,0 days 00:00:00.491158000,0 days 00:00:00.042379000
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test0,0 days 00:00:00.491158000,0 days 00:00:00.033401000
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0,test1,0 days 00:00:00.491158000,0 days 00:00:00.033278000
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,train,0 days 00:00:00.486500000,0 days 00:00:00.041776000
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test0,0 days 00:00:00.486500000,0 days 00:00:00.033120000
d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1,test1,0 days 00:00:00.486500000,0 days 00:00:00.033330000
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,train,0 days 00:00:00.647813000,0 days 00:00:00.038927000
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test0,0 days 00:00:00.647813000,0 days 00:00:00.032376000
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0,test1,0 days 00:00:00.647813000,0 days 00:00:00.036231000
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,train,0 days 00:00:00.629742000,0 days 00:00:00.038559000
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,test0,0 days 00:00:00.629742000,0 days 00:00:00.032717000
d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1,test1,0 days 00:00:00.629742000,0 days 00:00:00.031983000
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,train,0 days 00:00:00.003908000,0 days 00:00:00.000146000
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,test0,0 days 00:00:00.003908000,0 days 00:00:00.000168000
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0,test1,0 days 00:00:00.003908000,0 days 00:00:00.000143000
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,train,0 days 00:00:00.002493000,0 days 00:00:00.000146000
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,test0,0 days 00:00:00.002493000,0 days 00:00:00.000174000
d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1,test1,0 days 00:00:00.002493000,0 days 00:00:00.000147000
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,train,0 days 00:00:00.093013000,0 days 00:00:00.005608000
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,test0,0 days 00:00:00.093013000,0 days 00:00:00.004386000
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0,test1,0 days 00:00:00.093013000,0 days 00:00:00.004656000
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,train,0 days 00:00:00.091116000,0 days 00:00:00.005699000
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,test0,0 days 00:00:00.091116000,0 days 00:00:00.004436000
d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1,test1,0 days 00:00:00.091116000,0 days 00:00:00.004422000
d3_climate-model-simulation-crashes,e4_GaussianNB,r0,train,0 days 00:00:00.000837000,0 days 00:00:00.000256000
d3_climate-model-simulation-crashes,e4_GaussianNB,r0,test0,0 days 00:00:00.000837000,0 days 00:00:00.000233000
d3_climate-model-simulation-crashes,e4_GaussianNB,r0,test1,0 days 00:00:00.000837000,0 days 00:00:00.000233000
d3_climate-model-simulation-crashes,e4_GaussianNB,r1,train,0 days 00:00:00.000853000,0 days 00:00:00.000256000
d3_climate-model-simulation-crashes,e4_GaussianNB,r1,test0,0 days 00:00:00.000853000,0 days 00:00:00.000246000
d3_climate-model-simulation-crashes,e4_GaussianNB,r1,test1,0 days 00:00:00.000853000,0 days 00:00:00.000263000
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r0,train,0 days 00:00:00.000647000,0 days 00:00:00.001763000
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r0,test0,0 days 00:00:00.000647000,0 days 00:00:00.000904000
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r0,test1,0 days 00:00:00.000647000,0 days 00:00:00.000921000
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r1,train,0 days 00:00:00.000770000,0 days 00:00:00.001768000
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r1,test0,0 days 00:00:00.000770000,0 days 00:00:00.001108000
d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r1,test1,0 days 00:00:00.000770000,0 days 00:00:00.000966000
d3_climate-model-simulation-crashes,e6_SVC,r0,train,0 days 00:00:00.007081000,0 days 00:00:00.004726000
d3_climate-model-simulation-crashes,e6_SVC,r0,test0,0 days 00:00:00.007081000,0 days 00:00:00.001666000
d3_climate-model-simulation-crashes,e6_SVC,r0,test1,0 days 00:00:00.007081000,0 days 00:00:00.001749000
d3_climate-model-simulation-crashes,e6_SVC,r1,train,0 days 00:00:00.007356000,0 days 00:00:00.004739000
d3_climate-model-simulation-crashes,e6_SVC,r1,test0,0 days 00:00:00.007356000,0 days 00:00:00.001742000
