@RELATION evaluation_times

@ATTRIBUTE train_size REAL
@ATTRIBUTE fit_time INTEGER
@ATTRIBUTE score_time INTEGER
@ATTRIBUTE dataset_name {d0_speeddating, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis, d10_ringnorm, d11_credit-g}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}
@ATTRIBUTE split {train, test0, test1}

@DATA
0.6,'0 days 00:00:00.000993','0 days 00:00:00.000225',d2_iris,e2_DecisionTreeClassifier,r1,test0
0.6,'0 days 00:00:00.000993','0 days 00:00:00.000540',d2_iris,e2_DecisionTreeClassifier,r1,test1
0.6,'0 days 00:00:00.110677','0 days 00:00:00.007131',d2_iris,e3_AdaBoostClassifier,r0,train
0.6,'0 days 00:00:00.110677','0 days 00:00:00.007111',d2_iris,e3_AdaBoostClassifier,r0,test0
0.6,'0 days 00:00:00.110677','0 days 00:00:00.006225',d2_iris,e3_AdaBoostClassifier,r0,test1
0.6,'0 days 00:00:00.095524','0 days 00:00:00.006630',d2_iris,e3_AdaBoostClassifier,r1,train
0.6,'0 days 00:00:00.095524','0 days 00:00:00.009302',d2_iris,e3_AdaBoostClassifier,r1,test0
0.6,'0 days 00:00:00.095524','0 days 00:00:00.007912',d2_iris,e3_AdaBoostClassifier,r1,test1
0.6,'0 days 00:00:00.001301','0 days 00:00:00.000647',d2_iris,e4_GaussianNB,r0,train
0.6,'0 days 00:00:00.001301','0 days 00:00:00.000608',d2_iris,e4_GaussianNB,r0,test0
0.6,'0 days 00:00:00.001301','0 days 00:00:00.000380',d2_iris,e4_GaussianNB,r0,test1
0.6,'0 days 00:00:00.001130','0 days 00:00:00.000369',d2_iris,e4_GaussianNB,r1,train
0.6,'0 days 00:00:00.001130','0 days 00:00:00.000453',d2_iris,e4_GaussianNB,r1,test0
0.6,'0 days 00:00:00.001130','0 days 00:00:00.000683',d2_iris,e4_GaussianNB,r1,test1
0.6,'0 days 00:00:00.005813','0 days 00:00:00.001754',d2_iris,e5_KNeighborsClassifier,r0,train
0.6,'0 days 00:00:00.005813','0 days 00:00:00.001084',d2_iris,e5_KNeighborsClassifier,r0,test0
0.6,'0 days 00:00:00.005813','0 days 00:00:00.000890',d2_iris,e5_KNeighborsClassifier,r0,test1
0.6,'0 days 00:00:00.001253','0 days 00:00:00.001257',d2_iris,e5_KNeighborsClassifier,r1,train
0.6,'0 days 00:00:00.001253','0 days 00:00:00.001009',d2_iris,e5_KNeighborsClassifier,r1,test0
